,adult,id,original_title,popularity,video,tagline,overview,genres_string
26,False,836486,JFK Revisited: Through The Looking Glass,10.98,False,"November 22, 1963. The world deserves to know the truth.","Thirty years after his film JFK, filmmaker Oliver Stone takes viewers on a journey though recently declassified evidence in the assassination of President Kennedy - the most consequential American murder mystery of the twentieth century. Joined by Oscar-winning narrators Whoopi Goldberg and Donald Sutherland, as well as a distinguished team of forensics, medical and ballistics experts, historians, and witnesses, Stone presents compelling evidence that in the Kennedy case “conspiracy theory” is now “conspiracy fact.”",Documentary
27,False,927,Gremlins,27.571,False,"Don't get him wet, keep him out of bright light, and never NEVER feed him after midnight.","When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",Fantasy Horror Comedy
28,False,592695,Pleasure,18.366,False,,20-year-old Bella Cherry leaves her small town in Sweden for Los Angeles with the aim to become the world's next big porn star but the road to her goal turns out to be bumpier than she imagined.,Drama
29,False,512195,Red Notice,4541.568,False,Pro and cons.,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",Action Comedy Crime Thriller
30,False,744275,After We Fell,1380.203,False,,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",Romance Drama
31,False,576845,Last Night in Soho,1384.297,False,"When the past lets you in, the truth will come out.","A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",Horror Mystery Thriller
32,False,586813,Hannes,10.535,False,True Friendship Lasts A Lifetime,"Born at the same place, on the same day, Hannes and Moritz grow up to be inseparable friends. But one day a tragic motorcycle accident will change their lives forever, leaving Hannes in a coma with a slim chance of recovery. Moritz refuses to give up on his friend and puts his own life aside to ensure Hannes is always loved and surrounded by life and laughter. Trying to stand his ground, Moritz will then embark on an inspiring and life-changing journey, realizing that every day is worth celebrating and proving their friendship is stronger than ever.",Drama
33,False,659954,Azor,86.203,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",Drama
34,False,642208,Supernova,28.933,False,,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",Drama Romance
35,False,763553,Apenas el sol,0.89,False,,"Facing the consequences of a violent uprooting, Mateo Sobode Chiqueno has been recording stories, songs, and testimonies of his Ayoreo people since the seventies. In an attempt to preserve fragments of a disappearing culture, Mateo walks across communities in the arid and desolate Paraguayan Chaco region, and registers on cassettes the experiences of other Ayoreo who, like him, were born in the vast forest, free and nomadic, without any contact with white civilization, until religious missionaries forced them to abandon their ancestral territory, their means of subsistence, their beliefs and their home.",Documentary
36,False,617653,The Last Duel,94.261,False,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Action Drama History
37,False,663260,Boîte noire,19.65,False,Some clues are better left unheard,"Matthieu is a young and talented black box analyst on a mission to solve the reason behind the deadly crash of a brand new aircraft. Yet, when the case is closed by authorities, Matthieu cannot help but sense there is something wrong with the evidence. As he listens to the tracks again, he starts detecting some seriously disturbing details. Could the tape have been modified? Going against his boss' orders, Matthieu begins his own rogue investigation - an obsessional and dangerous quest for truth that will quickly threatan far more than his career...",Drama Thriller
38,False,610253,Halloween Kills,598.865,False,Evil dies tonight.,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",Horror Thriller
39,False,39243,Off Beat,2.578,False,The Real Life Adventures Of A Make-Believe Cop.,"Joe Gower's job is skating through library shelves, fetching books. A police officer/friend of his is chosen to participate in a charity dance performance. Gower agrees to take his place in the show by posing as a police officer. He falls for a female officer in the show and gets into various scrapes with fellow cops and also crooks. And he dances.",Comedy
40,False,608232,Tove,3.108,False,In search of freedom and desire,"Helsinki, 1945. The end of the war brings a new sense of artistic and social freedom for painter Tove Jansson. While focusing her artistic dreams on painting, the enchanting tales of the ‘Moomin’ creatures she told to scared children in bomb shelters, rapidly take on a life of their own, bringing international fame.",Drama
