,adult,id,original_title,popularity,video,tagline,overview
10,False,587807,Tom & Jerry,318.308,False,Best of enemies. Worst of friends.,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse."
11,False,459151,The Boss Baby: Family Business,1153.506,False,Playtime is over.,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.
12,False,749274,Cry Macho,124.928,False,A story of being lost... and found.,"Mike Milo, a one-time rodeo star and washed-up horse breeder, takes a job from an ex-boss to bring the man's young son home from Mexico."
13,False,617653,The Last Duel,176.183,False,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.
14,False,580489,Venom: Let There Be Carnage,7933.523,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady."
15,False,795812,Herr Bachmann und seine Klasse,0.84,False,,Mr. Bachmann And His Class explores the close bond between an elementary school teacher and his students. His unconventional methods clash with the complex social and cultural realities of the provincial German industrial town they live in.
16,False,566525,Shang-Chi and the Legend of the Ten Rings,1307.007,False,You can't outrun your destiny.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.
17,False,438631,Dune,7628.716,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
18,False,379686,Space Jam: A New Legacy,882.753,False,Welcome to the Jam!,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life."
19,False,842424,Fly,2.448,False,,"Bex has caused a serious accident and is therefore in prison. In order to rehabilitate the inmates, the prison offers them a dance class led by Ava. But Bex doesn't want to take part. However, she has no other choice and soon she feels drawn to Jay in particular and they realize that they have much more in common than this dance class. The cohesion within the prisoners of rehabilitation grows, but when Bex's past catches up with them again, everything is in danger."
20,False,783459,Nachbarn,0.67,False,,"With a fine sense of humor and satire, the film tells of a childhood, which, between dictatorship and dark drama, also has its light moments. How much friendship, love and solidarity are possible in times of repression and despotism?"
21,False,700066,"Chien pourri, la vie à Paris",0.981,False,,
22,False,580175,Druk,25.514,False,,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.
23,False,871530,"Es ist nur eine Phase, Hase",4.378,False,,"The successful writer Paul and the sought-after voice actress Emilia were always considered to be the absolute dream couple by friends: Harmonious, happy, successful, with three charming children named Bo, Marie and Fe. But now, in their late 40s, their relationship is threatened by a crisis."
24,False,846862,Monte Verità,0.617,False,The Ecstasy of Freedom,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
25,False,37793,Ghosts,7.854,False,Are you scared yet?,"The story of a scary Maestro with supernatural powers, who is being forced out of a small town by its mayor. Included are a series of dance routines performed by Michael Jackson and his ""family"" of ghouls. Every song from the film was taken from Michael Jackson's HIStory and Blood on the Dance Floor albums."
26,False,600354,The Father,30.089,False,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
27,False,835433,Bekenntnisse des Hochstaplers Felix Krull,1.494,False,,
28,False,683641,Je suis Karl,45.323,False,,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
29,False,283366,Miss Peregrine's Home for Peculiar Children,73.524,False,Stay peculiar,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.
30,False,630240,Titane,135.865,False,,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years."
31,False,581734,Nomadland,37.14,False,See you down the road.,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad."
32,False,646207,The Ice Road,145.114,False,This mission is on thin ice.,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners."
33,False,35052,Cracks,8.687,False,Innocence isn't lost. It's taken.,Jealousy flares after the headmistress of an elite boarding school for girls becomes obsessed with a new student.
34,False,729679,Toma,98.166,False,,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and unique way he was singing them, but also as a bohemian, both in his behavior and his soul."
35,False,744275,After We Fell,1365.065,False,,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family."
36,False,610253,Halloween Kills,4242.611,False,Evil dies tonight.,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all."
